name,groupName,matchDate,team1,teamname1,team2,teamname2,venuecity,venuecountry,venue
Match 1,Pool A,2015-02-14T11:00:00+1300,SL,Sri Lanka,NZ,New Zealand,Christchurch,New Zealand,Hagley Oval
Match 2,Pool A,2015-02-14T14:30:00+1100,ENG,England,AUS,Australia,Melbourne,Australia,Melbourne Cricket Ground
Match 3,Pool B,2015-02-15T14:00:00+1300,SA,South Africa,ZIM,Zimbabwe,Hamilton,New Zealand,Seddon Park
Match 4,Pool B,2015-02-15T14:00:00+1030,IND,India,PAK,Pakistan,Adelaide,Australia,Adelaide Oval
Match 5,Pool B,2015-02-16T11:00:00+1300,WI,West Indies,IRE,Ireland,Nelson,New Zealand,Saxton Oval
Match 6,Pool A,2015-02-17T11:00:00+1300,NZ,New Zealand,SCO,Scotland,Dunedin,New Zealand,University Oval
Match 7,Pool A,2015-02-18T14:30:00+1100,BAN,Bangladesh,AFG,Afghanistan,Canberra,Australia,Manuka Oval
Match 8,Pool B,2015-02-19T11:00:00+1300,ZIM,Zimbabwe,UAE,United Arab Emirates,Nelson,New Zealand,Saxton Oval
Match 9,Pool A,2015-02-20T14:00:00+1300,ENG,England,NZ,New Zealand,Wellington,New Zealand,Wellington Regional Stadium
Match 10,Pool B,2015-02-21T11:00:00+1300,PAK,Pakistan,WI,West Indies,Christchurch,New Zealand,Hagley Oval
Match 11,Pool A,2015-02-21T13:30:00+1000,AUS,Australia,BAN,Bangladesh,Brisbane,Australia,The Gabba
Match 12,Pool A,2015-02-22T11:00:00+1300,SL,Sri Lanka,AFG,Afghanistan,Dunedin,New Zealand,University Oval
Match 13,Pool B,2015-02-22T14:30:00+1100,SA,South Africa,IND,India,Melbourne,Australia,Melbourne Cricket Ground
Match 14,Pool A,2015-02-23T11:00:00+1300,ENG,England,SCO,Scotland,Christchurch,New Zealand,Hagley Oval
Match 15,Pool B,2015-02-24T14:30:00+1100,WI,West Indies,ZIM,Zimbabwe,Canberra,Australia,Manuka Oval
Match 16,Pool B,2015-02-25T13:30:00+1000,IRE,Ireland,UAE,United Arab Emirates,Brisbane,Australia,The Gabba
Match 17,Pool A,2015-02-26T11:00:00+1300,AFG,Afghanistan,SCO,Scotland,Dunedin,New Zealand,University Oval
Match 18,Pool A,2015-02-26T14:30:00+1100,SL,Sri Lanka,BAN,Bangladesh,Melbourne,Australia,Melbourne Cricket Ground
Match 19,Pool B,2015-02-27T14:30:00+1100,SA,South Africa,WI,West Indies,Sydney,Australia,Sydney Cricket Ground
Match 20,Pool A,2015-02-28T14:00:00+1300,AUS,Australia,NZ,New Zealand,Auckland,New Zealand,Eden Park
Match 21,Pool B,2015-02-28T14:30:00+0800,IND,India,UAE,United Arab Emirates,Perth,Australia,WACA
Match 22,Pool A,2015-03-01T11:00:00+1300,ENG,England,SL,Sri Lanka,Wellington,New Zealand,Wellington Regional Stadium
Match 23,Pool B,2015-03-01T13:30:00+1000,PAK,Pakistan,ZIM,Zimbabwe,Brisbane,Australia,The Gabba
Match 24,Pool B,2015-03-03T14:30:00+1100,SA,South Africa,IRE,Ireland,Canberra,Australia,Manuka Oval
Match 25,Pool B,2015-03-04T14:00:00+1300,PAK,Pakistan,UAE,United Arab Emirates,Napier,New Zealand,McLean Park
